{'sample_size': 1024, 'difference': -1008, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(2.7547385807429046)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 32, 'difference': -16, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 64, 'difference': -48, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 128, 'difference': -112, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 256, 'difference': -240, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
{'sample_size': 512, 'difference': -496, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(546.8468268131403)}
