{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676867e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676867e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676867e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676867e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676867e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676867e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.183891697681034e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.183891697681034e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.183891697681034e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.183891697681034e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.183891697681034e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.183891697681034e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 3.526364777484254e-06, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0026660382780987, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 3.5262082716763624e-06, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0026659826354205, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
